antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'pastry'}),frozenset({'whole milk'}),0.0517275947336764,0.15792287642852368,0.006482657221145492,0.12532299741602068,0.7935708888429613,1.0,-0.001686313329925639,0.9627292372885121,-0.21526566181115744,0.03190789473684211,-0.03871364997333987,0.08318625537326638
frozenset({'salty snack'}),frozenset({'other vegetables'}),0.018779656485998796,0.12210118291786407,0.002205440085544343,0.11743772241992884,0.96180659034997,1.0,-8.757818618724839e-05,0.9947159983874201,-0.03889596400814089,0.015903614457831325,-0.005312070602208042,0.06775005989633552
frozenset({'yogurt'}),frozenset({'whole milk'}),0.08587850030074183,0.15792287642852368,0.011160863463209249,0.1299610894941634,0.8229402378760758,1.0,-0.002401316327651736,0.9678614524054983,-0.190524689389268,0.047974719908072394,-0.03320573157927244,0.10031698148004828
frozenset({'sausage'}),frozenset({'whole milk'}),0.06034886052262247,0.15792287642852368,0.008955423377664907,0.14839424141749724,0.9396627314134623,1.0,-0.0005750422652514124,0.9888109786541524,-0.06396454269627133,0.04278416347381865,-0.01131563219603084,0.10255090826693737
frozenset({'soda'}),frozenset({'whole milk'}),0.09710619528169484,0.15792287642852368,0.011628684087415625,0.11975223675154853,0.7582956912879478,1.0,-0.003706605590499557,0.9566364820557898,-0.26091698560373644,0.04777594728171335,-0.04532914932433168,0.09669372311551189
frozenset({'canned beer'}),frozenset({'whole milk'}),0.04691572545612511,0.15792287642852368,0.006014836596939116,0.1282051282051282,0.8118211313302299,1.0,-0.0013942297168230717,0.9659119946849287,-0.19562985775040317,0.030252100840336135,-0.03529100529100529,0.08314615276104907
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.11000467820624206,0.15792287642852368,0.013967787208447505,0.12697448359659783,0.8040284376030019,1.0,-0.0034044679944763706,0.9645504143344816,-0.2149864447279974,0.055,-0.03675244459873861,0.10771068657189181
frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.043707812604424245,0.15792287642852368,0.004611374724319989,0.1055045871559633,0.6680766557827672,1.0,-0.002291088764569571,0.9413990407106761,-0.34190708909560646,0.023405698778833108,-0.0622487986020096,0.06735237821615346
frozenset({'frankfurter'}),frozenset({'whole milk'}),0.037759807525228894,0.15792287642852368,0.005279689901757669,0.13982300884955753,0.8853879311959075,1.0,-0.0006834475160138924,0.9789579728763048,-0.11857632162174715,0.027729027729027734,-0.021494310998735746,0.0866275433583378
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,1.0,0.0005355097006888195,1.0164197369905876,0.1081463334554042,0.03326133909287257,0.016154484602201084,0.08921438985521989
frozenset({'beef'}),frozenset({'whole milk'}),0.03395041101383412,0.15792287642852368,0.004678206242063757,0.1377952755905512,0.8725479088706803,1.0,-0.0006833403211715583,0.9766556593020775,-0.13134290943680002,0.024991074616208496,-0.0239023247094113,0.08370931786298613
frozenset({'white bread'}),frozenset({'whole milk'}),0.023992514870012697,0.15792287642852368,0.003141081333957094,0.1309192200557103,0.829007316840285,1.0,-0.000647885627069438,0.9689284851351283,-0.17446274192850025,0.017570093457943928,-0.032067913516381476,0.07540459521617508
frozenset({'white bread'}),frozenset({'other vegetables'}),0.023992514870012697,0.12210118291786407,0.0026064291920069507,0.10863509749303622,0.8897137185486048,1.0,-0.00032308525479604307,0.9848927354140212,-0.11269185470452957,0.01816488122962273,-0.015338994839502056,0.06499078355768395
frozenset({'curd'}),frozenset({'other vegetables'}),0.03368308494285905,0.12210118291786407,0.003542070440419702,0.10515873015873017,0.861242517441204,1.0,-0.0005706740754262835,0.9810665272935621,-0.14290299923050756,0.023266022827041266,-0.019298867283413554,0.06708401751505201
frozenset({'curd'}),frozenset({'whole milk'}),0.03368308494285905,0.15792287642852368,0.004143554100113613,0.12301587301587302,0.7789617045859112,1.0,-0.0011757755610489829,0.9601965390950771,-0.2269941295365023,0.02210338680926916,-0.04145345175107077,0.07462685313933727
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.12210118291786407,0.15792287642852368,0.014836596939116486,0.12151067323481116,0.7694304712706219,1.0,-0.004445973082597927,0.9585513425327646,-0.2544772519325178,0.05594758064516129,-0.043240936221231784,0.10772952197500185
frozenset({'frozen vegetables'}),frozenset({'other vegetables'}),0.028002405934638777,0.12210118291786407,0.003141081333957094,0.11217183770883055,0.9186793692595684,1.0,-0.0002780455552085174,0.9888161407457391,-0.08346786087795986,0.021373351523419737,-0.011310352646373976,0.06894853516530744
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.028002405934638777,0.15792287642852368,0.003809396511394774,0.1360381861575179,0.8614216586859672,1.0,-0.0006128239807225437,0.9746693778354933,-0.14200373830228077,0.02091743119266055,-0.025988938136909487,0.0800800325624661
frozenset({'butter'}),frozenset({'whole milk'}),0.03522020985096572,0.15792287642852368,0.004678206242063757,0.13282732447817835,0.84108982486965,1.0,-0.0008838706060169746,0.971060490420499,-0.1637613361679098,0.02482269503546099,-0.029801963796271196,0.08122534230679972
frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.0677671589921807,0.15792287642852368,0.008220276682483459,0.121301775147929,0.7681076857970638,1.0,-0.0024817079929508115,0.9583234604954849,-0.24462568681318667,0.037799631223110024,-0.04348901098901096,0.0866771254072273
frozenset({'sugar'}),frozenset({'whole milk'}),0.01771035220209851,0.15792287642852368,0.0024727661565194146,0.13962264150943396,0.8841191641581297,1.0,-0.0003241036057982207,0.9787299901159703,-0.11772416814030075,0.014280200694712468,-0.021732255166217417,0.0776403516476497
